"BestMatchID"	"File_Name"	"BestMatchScore"	"OrigMetaID"	"Cluster"	"CellType"	"fov"	"Slide_celltype_fov"
"T1_b_g0_Stroma_1"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_1"	"T1_b_g0"	"Stroma"	"T1_b_1"	"T1_b_Stroma_T1_b_1"
"T1_b_g0_Stroma_2"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_2"	"T1_b_g0"	"Stroma"	"T1_b_2"	"T1_b_Stroma_T1_b_2"
"T1_b_g0_Stroma_3"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_3"	"T1_b_g0"	"Stroma"	"T1_b_3"	"T1_b_Stroma_T1_b_3"
"T1_b_g0_Stroma_4"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_4"	"T1_b_g0"	"Stroma"	"T1_b_4"	"T1_b_Stroma_T1_b_4"
"T1_b_g0_Stroma_5"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_5"	"T1_b_g0"	"Stroma"	"T1_b_5"	"T1_b_Stroma_T1_b_5"
"T1_b_g0_Stroma_6"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_6"	"T1_b_g0"	"Stroma"	"T1_b_6"	"T1_b_Stroma_T1_b_6"
"T1_b_g0_Stroma_7"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_7"	"T1_b_g0"	"Stroma"	"T1_b_7"	"T1_b_Stroma_T1_b_7"
"T1_b_g0_Stroma_8"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_8"	"T1_b_g0"	"Stroma"	"T1_b_8"	"T1_b_Stroma_T1_b_8"
"T1_b_g0_Stroma_9"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_9"	"T1_b_g0"	"Stroma"	"T1_b_9"	"T1_b_Stroma_T1_b_9"
"T1_b_g0_Stroma_10"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_10"	"T1_b_g0"	"Stroma"	"T1_b_10"	"T1_b_Stroma_T1_b_10"
"T1_b_g0_Stroma_11"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_11"	"T1_b_g0"	"Stroma"	"T1_b_11"	"T1_b_Stroma_T1_b_11"
"T1_b_g0_Stroma_12"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_12"	"T1_b_g0"	"Stroma"	"T1_b_12"	"T1_b_Stroma_T1_b_12"
"T1_b_g0_Stroma_13"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_13"	"T1_b_g0"	"Stroma"	"T1_b_13"	"T1_b_Stroma_T1_b_13"
"T1_b_g0_Stroma_14"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_14"	"T1_b_g0"	"Stroma"	"T1_b_14"	"T1_b_Stroma_T1_b_14"
"T1_b_g0_Stroma_15"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g0_Stroma_15"	"T1_b_g0"	"Stroma"	"T1_b_15"	"T1_b_Stroma_T1_b_15"
