"Sample"	"Cluster"	"CellType"	"fov"	"Sample_celltype_fov"
"g0_Stroma_1"	"g0"	"Stroma"	"1"	"g0_Stroma_1"
"g0_Stroma_2"	"g0"	"Stroma"	"2"	"g0_Stroma_2"
"g0_Stroma_3"	"g0"	"Stroma"	"3"	"g0_Stroma_3"
"g0_Stroma_4"	"g0"	"Stroma"	"4"	"g0_Stroma_4"
"g0_Stroma_5"	"g0"	"Stroma"	"5"	"g0_Stroma_5"
"g0_Stroma_6"	"g0"	"Stroma"	"6"	"g0_Stroma_6"
"g0_Stroma_7"	"g0"	"Stroma"	"7"	"g0_Stroma_7"
"g0_Stroma_8"	"g0"	"Stroma"	"8"	"g0_Stroma_8"
"g0_Stroma_9"	"g0"	"Stroma"	"9"	"g0_Stroma_9"
"g0_Stroma_10"	"g0"	"Stroma"	"10"	"g0_Stroma_10"
"g0_Stroma_11"	"g0"	"Stroma"	"11"	"g0_Stroma_11"
"g0_Stroma_12"	"g0"	"Stroma"	"12"	"g0_Stroma_12"
"g0_Stroma_13"	"g0"	"Stroma"	"13"	"g0_Stroma_13"
"g0_Stroma_14"	"g0"	"Stroma"	"14"	"g0_Stroma_14"
"g0_Stroma_15"	"g0"	"Stroma"	"15"	"g0_Stroma_15"
"g0_Stroma_16"	"g0"	"Stroma"	"16"	"g0_Stroma_16"
"g0_Stroma_17"	"g0"	"Stroma"	"17"	"g0_Stroma_17"
"g0_Stroma_18"	"g0"	"Stroma"	"18"	"g0_Stroma_18"
"g0_Stroma_19"	"g0"	"Stroma"	"19"	"g0_Stroma_19"
"g0_Stroma_20"	"g0"	"Stroma"	"20"	"g0_Stroma_20"
"g0_Stroma_21"	"g0"	"Stroma"	"21"	"g0_Stroma_21"
"g0_Stroma_22"	"g0"	"Stroma"	"22"	"g0_Stroma_22"
"g1_Stroma_1"	"g1"	"Stroma"	"1"	"g1_Stroma_1"
"g1_Stroma_2"	"g1"	"Stroma"	"2"	"g1_Stroma_2"
"g1_Stroma_3"	"g1"	"Stroma"	"3"	"g1_Stroma_3"
"g1_Stroma_4"	"g1"	"Stroma"	"4"	"g1_Stroma_4"
"g1_Stroma_5"	"g1"	"Stroma"	"5"	"g1_Stroma_5"
"g1_Stroma_6"	"g1"	"Stroma"	"6"	"g1_Stroma_6"
"g1_Stroma_7"	"g1"	"Stroma"	"7"	"g1_Stroma_7"
"g1_Stroma_8"	"g1"	"Stroma"	"8"	"g1_Stroma_8"
"g1_Stroma_9"	"g1"	"Stroma"	"9"	"g1_Stroma_9"
"g1_Stroma_10"	"g1"	"Stroma"	"10"	"g1_Stroma_10"
"g1_Stroma_11"	"g1"	"Stroma"	"11"	"g1_Stroma_11"
"g1_Stroma_12"	"g1"	"Stroma"	"12"	"g1_Stroma_12"
"g1_Stroma_13"	"g1"	"Stroma"	"13"	"g1_Stroma_13"
"g1_Stroma_14"	"g1"	"Stroma"	"14"	"g1_Stroma_14"
"g1_Stroma_15"	"g1"	"Stroma"	"15"	"g1_Stroma_15"
"g1_Stroma_16"	"g1"	"Stroma"	"16"	"g1_Stroma_16"
"g1_Stroma_17"	"g1"	"Stroma"	"17"	"g1_Stroma_17"
"g1_Stroma_18"	"g1"	"Stroma"	"18"	"g1_Stroma_18"
"g1_Stroma_19"	"g1"	"Stroma"	"19"	"g1_Stroma_19"
"g1_Stroma_20"	"g1"	"Stroma"	"20"	"g1_Stroma_20"
"g1_Stroma_21"	"g1"	"Stroma"	"21"	"g1_Stroma_21"
"g1_Stroma_22"	"g1"	"Stroma"	"22"	"g1_Stroma_22"
"g2_Early Macrophage Ag_1"	"g2"	"Early Macrophage Ag"	"1"	"g2_Early Macrophage Ag_1"
"g2_Early Macrophage Ag_2"	"g2"	"Early Macrophage Ag"	"2"	"g2_Early Macrophage Ag_2"
"g2_Early Macrophage Ag_3"	"g2"	"Early Macrophage Ag"	"3"	"g2_Early Macrophage Ag_3"
"g2_Early Macrophage Ag_4"	"g2"	"Early Macrophage Ag"	"4"	"g2_Early Macrophage Ag_4"
"g2_Early Macrophage Ag_5"	"g2"	"Early Macrophage Ag"	"5"	"g2_Early Macrophage Ag_5"
"g2_Early Macrophage Ag_6"	"g2"	"Early Macrophage Ag"	"6"	"g2_Early Macrophage Ag_6"
"g2_Early Macrophage Ag_7"	"g2"	"Early Macrophage Ag"	"7"	"g2_Early Macrophage Ag_7"
"g2_Early Macrophage Ag_8"	"g2"	"Early Macrophage Ag"	"8"	"g2_Early Macrophage Ag_8"
"g2_Early Macrophage Ag_9"	"g2"	"Early Macrophage Ag"	"9"	"g2_Early Macrophage Ag_9"
"g2_Early Macrophage Ag_10"	"g2"	"Early Macrophage Ag"	"10"	"g2_Early Macrophage Ag_10"
"g2_Early Macrophage Ag_11"	"g2"	"Early Macrophage Ag"	"11"	"g2_Early Macrophage Ag_11"
"g2_Early Macrophage Ag_12"	"g2"	"Early Macrophage Ag"	"12"	"g2_Early Macrophage Ag_12"
"g2_Early Macrophage Ag_13"	"g2"	"Early Macrophage Ag"	"13"	"g2_Early Macrophage Ag_13"
"g2_Early Macrophage Ag_14"	"g2"	"Early Macrophage Ag"	"14"	"g2_Early Macrophage Ag_14"
"g2_Early Macrophage Ag_15"	"g2"	"Early Macrophage Ag"	"15"	"g2_Early Macrophage Ag_15"
"g2_Early Macrophage Ag_16"	"g2"	"Early Macrophage Ag"	"16"	"g2_Early Macrophage Ag_16"
"g2_Early Macrophage Ag_17"	"g2"	"Early Macrophage Ag"	"17"	"g2_Early Macrophage Ag_17"
"g2_Early Macrophage Ag_18"	"g2"	"Early Macrophage Ag"	"18"	"g2_Early Macrophage Ag_18"
"g2_Early Macrophage Ag_19"	"g2"	"Early Macrophage Ag"	"19"	"g2_Early Macrophage Ag_19"
"g2_Early Macrophage Ag_20"	"g2"	"Early Macrophage Ag"	"20"	"g2_Early Macrophage Ag_20"
"g2_Early Macrophage Ag_21"	"g2"	"Early Macrophage Ag"	"21"	"g2_Early Macrophage Ag_21"
