"Sample"	"Cluster"	"CellType"	"fov"	"Sample_celltype_fov"
"g0_Stroma_1"	"g0"	"Stroma"	"1"	"g0_Stroma_1"
"g0_Stroma_2"	"g0"	"Stroma"	"2"	"g0_Stroma_2"
"g0_Stroma_3"	"g0"	"Stroma"	"3"	"g0_Stroma_3"
"g0_Stroma_4"	"g0"	"Stroma"	"4"	"g0_Stroma_4"
"g0_Stroma_5"	"g0"	"Stroma"	"5"	"g0_Stroma_5"
"g0_Stroma_6"	"g0"	"Stroma"	"6"	"g0_Stroma_6"
"g0_Stroma_7"	"g0"	"Stroma"	"7"	"g0_Stroma_7"
"g0_Stroma_8"	"g0"	"Stroma"	"8"	"g0_Stroma_8"
"g0_Stroma_9"	"g0"	"Stroma"	"9"	"g0_Stroma_9"
"g0_Stroma_10"	"g0"	"Stroma"	"10"	"g0_Stroma_10"
"g0_Stroma_11"	"g0"	"Stroma"	"11"	"g0_Stroma_11"
"g0_Stroma_12"	"g0"	"Stroma"	"12"	"g0_Stroma_12"
"g0_Stroma_13"	"g0"	"Stroma"	"13"	"g0_Stroma_13"
"g0_Stroma_14"	"g0"	"Stroma"	"14"	"g0_Stroma_14"
"g0_Stroma_15"	"g0"	"Stroma"	"15"	"g0_Stroma_15"
"g0_Stroma_16"	"g0"	"Stroma"	"16"	"g0_Stroma_16"
"g0_Stroma_17"	"g0"	"Stroma"	"17"	"g0_Stroma_17"
"g0_Stroma_18"	"g0"	"Stroma"	"18"	"g0_Stroma_18"
"g0_Stroma_19"	"g0"	"Stroma"	"19"	"g0_Stroma_19"
"g0_Stroma_20"	"g0"	"Stroma"	"20"	"g0_Stroma_20"
"g0_Stroma_21"	"g0"	"Stroma"	"21"	"g0_Stroma_21"
"g0_Stroma_22"	"g0"	"Stroma"	"22"	"g0_Stroma_22"
"g0_Stroma_23"	"g0"	"Stroma"	"23"	"g0_Stroma_23"
"g0_Stroma_24"	"g0"	"Stroma"	"24"	"g0_Stroma_24"
"g0_Stroma_25"	"g0"	"Stroma"	"25"	"g0_Stroma_25"
"g0_Stroma_26"	"g0"	"Stroma"	"26"	"g0_Stroma_26"
"g0_Stroma_27"	"g0"	"Stroma"	"27"	"g0_Stroma_27"
"g0_Stroma_28"	"g0"	"Stroma"	"28"	"g0_Stroma_28"
"g0_Stroma_29"	"g0"	"Stroma"	"29"	"g0_Stroma_29"
"g0_Stroma_30"	"g0"	"Stroma"	"30"	"g0_Stroma_30"
"g0_Stroma_31"	"g0"	"Stroma"	"31"	"g0_Stroma_31"
"g1_Macrophages_1"	"g1"	"Macrophages"	"1"	"g1_Macrophages_1"
"g1_Macrophages_2"	"g1"	"Macrophages"	"2"	"g1_Macrophages_2"
"g1_Macrophages_3"	"g1"	"Macrophages"	"3"	"g1_Macrophages_3"
"g1_Macrophages_4"	"g1"	"Macrophages"	"4"	"g1_Macrophages_4"
"g1_Macrophages_5"	"g1"	"Macrophages"	"5"	"g1_Macrophages_5"
"g1_Macrophages_6"	"g1"	"Macrophages"	"6"	"g1_Macrophages_6"
"g1_Macrophages_7"	"g1"	"Macrophages"	"7"	"g1_Macrophages_7"
"g1_Macrophages_8"	"g1"	"Macrophages"	"8"	"g1_Macrophages_8"
"g1_Macrophages_9"	"g1"	"Macrophages"	"9"	"g1_Macrophages_9"
"g1_Macrophages_10"	"g1"	"Macrophages"	"10"	"g1_Macrophages_10"
"g1_Macrophages_11"	"g1"	"Macrophages"	"11"	"g1_Macrophages_11"
"g1_Macrophages_12"	"g1"	"Macrophages"	"12"	"g1_Macrophages_12"
"g1_Macrophages_13"	"g1"	"Macrophages"	"13"	"g1_Macrophages_13"
"g1_Macrophages_14"	"g1"	"Macrophages"	"14"	"g1_Macrophages_14"
"g1_Macrophages_15"	"g1"	"Macrophages"	"15"	"g1_Macrophages_15"
"g1_Macrophages_16"	"g1"	"Macrophages"	"16"	"g1_Macrophages_16"
"g1_Macrophages_17"	"g1"	"Macrophages"	"17"	"g1_Macrophages_17"
"g1_Macrophages_18"	"g1"	"Macrophages"	"18"	"g1_Macrophages_18"
"g1_Macrophages_19"	"g1"	"Macrophages"	"19"	"g1_Macrophages_19"
"g1_Macrophages_20"	"g1"	"Macrophages"	"20"	"g1_Macrophages_20"
"g1_Macrophages_21"	"g1"	"Macrophages"	"21"	"g1_Macrophages_21"
"g1_Macrophages_22"	"g1"	"Macrophages"	"22"	"g1_Macrophages_22"
"g1_Macrophages_23"	"g1"	"Macrophages"	"23"	"g1_Macrophages_23"
"g1_Macrophages_24"	"g1"	"Macrophages"	"24"	"g1_Macrophages_24"
"g1_Macrophages_25"	"g1"	"Macrophages"	"25"	"g1_Macrophages_25"
"g1_Macrophages_26"	"g1"	"Macrophages"	"26"	"g1_Macrophages_26"
"g1_Macrophages_27"	"g1"	"Macrophages"	"27"	"g1_Macrophages_27"
"g1_Macrophages_28"	"g1"	"Macrophages"	"28"	"g1_Macrophages_28"
"g1_Macrophages_29"	"g1"	"Macrophages"	"29"	"g1_Macrophages_29"
"g1_Macrophages_30"	"g1"	"Macrophages"	"30"	"g1_Macrophages_30"
"g1_Macrophages_31"	"g1"	"Macrophages"	"31"	"g1_Macrophages_31"
"g2_Tcells_1"	"g2"	"Tcells"	"1"	"g2_Tcells_1"
"g2_Tcells_2"	"g2"	"Tcells"	"2"	"g2_Tcells_2"
"g2_Tcells_3"	"g2"	"Tcells"	"3"	"g2_Tcells_3"
"g2_Tcells_4"	"g2"	"Tcells"	"4"	"g2_Tcells_4"
"g2_Tcells_5"	"g2"	"Tcells"	"5"	"g2_Tcells_5"
"g2_Tcells_6"	"g2"	"Tcells"	"6"	"g2_Tcells_6"
"g2_Tcells_7"	"g2"	"Tcells"	"7"	"g2_Tcells_7"
"g2_Tcells_8"	"g2"	"Tcells"	"8"	"g2_Tcells_8"
"g2_Tcells_9"	"g2"	"Tcells"	"9"	"g2_Tcells_9"
"g2_Tcells_10"	"g2"	"Tcells"	"10"	"g2_Tcells_10"
